Category	Focus	English	Turkish
Time	Times of the day	Evening	Akşam
Time	Times of the day	Sunset	Günbatımı
Time	Times of the day	Night	Gece
Time	Times of the day	Midnight	Gece yarısı
Time	Clock Time	Second	Saniye
Time	Clock Time	Minute	Dakika
Time	Clock Time	Hour	Saat
Family Members	Immediate	Father	Baba
Family Members	Immediate	Mother	Anne
Family Members	Immediate	Brother	Kardeş
Family Members	Immediate	Sister	Kız kardeş
Family Members	Immediate	Elder brother	Abi
Family Members	Immediate	Elder sister	Abla
Family Members	Immediate	Grandfather	Dede
Family Members	Immediate	Grandmother	See below
Family Members	Immediate	Grandchild	Torun
Family Members	Immediate	Husband	Koca
Family Members	Immediate	Wife	Hanım
Family Members	Immediate	Spouse (Husband / Wife)	Eş
Family Members	Immediate	Son	Oğul
Family Members	Immediate	Daughter	Kız
Family Members	Maternal	Aunt	Teyze
Family Members	Maternal	Uncle	Dayı
Family Members	Maternal	Grandmother	Anneanne
Family Members	Paternal	Aunt	Hala
Family Members	Paternal	Uncle	Amca
Family Members	Paternal	Grandmother	Babaanne
Family Members	In-laws	Mother-in-law	Kaynana / Kayınvalide
Family Members	In-laws	Father-in-law	Kayınbaba / Kayınpeder
Food	Meat and Fish	Beef	Sığır eti / Et
Food	Meat and Fish	Chicken	Tavuk
Food	Meat and Fish	Fish	Balık
Food	Meat and Fish	Lamb	Kuzu
Food	Meat and Fish	Sausage	Sosis
Food	Meat and Fish	Steak	Biftek
Food	Meat and Fish	Turkey	Hindi
Food	Grains	Bread	Ekmek
Food	Grains	Pasta	Makarna
Food	Grains	Rice	Pirinç / Pilav
Food	Dairy	Cheese	Peynir
Food	Dairy	Egg	Yumurta
Food	Dairy	Ice-cream	Dondurma
Food	Dairy	Milk	Süt
Food	Dairy	Yogurt	Yoğurt
Food	Fruit	Apple	Elma
Food	Fruit	Apricot	Kayısı
Food	Fruit	Banana	Muz
Food	Fruit	Grapes	Üzüm
Food	Fruit	Mango	Mango
Food	Fruit	Orange	Portakal
Food	Fruit	Peach	Şeftali
Food	Fruit	Pear	Armut
Food	Fruit	Pineapple	Ananas
Food	Fruit	Pomegranate	Nar
Food	Fruit	Sour cherry	Vişne
Food	Fruit	Strawberry	Çilek
Food	Fruit	Watermelon	Karpuz
Food	Vegetables	Cabbage	Lahana
Food	Vegetables	Carrot	Havuç
Food	Vegetables	Corn	Mısır
Food	Vegetables	Cucumber	Salatalık
Food	Vegetables	Eggplant	Patlıcan
Food	Vegetables	Lettuce	Marul
Food	Vegetables	Onion	Soğan
Food	Vegetables	Peas	Bezelye
Food	Vegetables	Potato	Patates
Food	Vegetables	Spinach	Ispanak
Food	Fast food	Burger	Burger
Food	Fast food	French fries	Patates kızartması
Food	Fast food	Ketchup	Ketçap
Food	Fast food	Mayonnaise	Mayonez
Food	Fast food	Mustard	Hardal
Food	Fast food	Pizza	Pizza
Food	Fast food	Sandwich	Sandviç
Food	Snacks	Cake	Pasta
Food	Snacks	Candy	Şeker
Food	Snacks	Chocolate	Çikolata
Food	Snacks	Cookies	Bisküvi
Food	Snacks	Dessert	Tatlı
Food	Snacks	Potato chips	Patates cipsi
Food	Drinks	Coffee	Kahve
Food	Drinks	Cola	Kola
Food	Drinks	Fruit juice	Meyve suyu
Food	Drinks	Tea	Çay
Food	Drinks	Water	Su
Food	Spices	Chili pepper	Pul biber
Food	Spices	Pepper	Karabiber
Food	Spices	Salt	Tuz
Food	Spices	Vinegar	Sirke
Food	Meals	Breakfast	Kahvaltı
Food	Meals	Lunch	Öğle yemeği
Food	Meals	Dinner	Akşam yemeği
Islam	General	Muslim	Müslüman
Islam	General	Islam	İslam
Islam	General	Quran	Kur'ân
Islam	General	Sunnah	Sünnet
Islam	Mosque	Ablution (Wuzu)	Abdest
Islam	Mosque	Call to prayer	Ezan
Islam	Mosque	Dome	Kubbe
Islam	Mosque	Imam	İmam
Islam	Mosque	Minaret	Minare
Islam	Mosque	Mosque	Cami
Islam	Mosque	Muazzin	Müezzin
Islam	Mosque	Niche	Mihrap
Islam	Mosque	Pulpit	Minber
Islam	Mosque	Salaah (Prayer)	Namaz
Islam	Salaah (Prayer)	Fajr salaah	Sabah namazı
Islam	Salaah (Prayer)	Thuhr salaah	Öğle namazı
Islam	Salaah (Prayer)	Asr salaah	İkindi namazı
Islam	Salaah (Prayer)	Maghrib salaah	Akşam namazı
Islam	Salaah (Prayer)	Esha salaah	Yatsı namazı
Islam	Salaah (Prayer)	To perform salaah	Namaz kılmak
Islam	Ramadan (Fasting Month)	To Fast	Oruç tutmak
Islam	Ramadan (Fasting Month)	Iftar	İftar
Islam	Ramadan (Fasting Month)	Laylatul Qadr	Kadir gecesi
Islam	Ramadan (Fasting Month)	Ramadan	Ramazan
Islam	Ramadan (Fasting Month)	Ramadan Mubarak	Ramazanınız Mübarek Olsun
Islam	Ramadan (Fasting Month)	Suhoor	Sahur
Islam	Ramadan (Fasting Month)	Taraweeh salaah	Teravih namazı
Islam	Special Occasions	Eid Al-Fitr	Ramazan Bayramı
Islam	Special Occasions	Eid Al-Adha	Kurban Bayramı
Islam	Special Occasions	Eid Mubarak	Bayramınız Mübarek Olsun
Islam	Special Occasions	Jumuah	Cuma
Islam	Special Occasions	Jumuah Mubarakah	Cumanız Mübarek Olsun
Islam	Special Occasions	Hajj	Hac
Islam	Special Occasions	Umrah	Umre
Islam	Months (Hijri)	Muharram	Muharrem
Islam	Months (Hijri)	Safar	Safer
Islam	Months (Hijri)	Rabi'ul Awwal	Rebiülevvel
Islam	Months (Hijri)	Rabi'ul Akhir	Rebiülahir
Islam	Months (Hijri)	Jumadul Awwal	Cemaziyelevvel
Islam	Months (Hijri)	Jumadul Akhir	Cemaziyelahir
Islam	Months (Hijri)	Rajab	Recep
Islam	Months (Hijri)	Shabaan	Şaban
Islam	Months (Hijri)	Ramadan	Ramazan
Islam	Months (Hijri)	Shawwal	Şevval
Islam	Months (Hijri)	Dhul Qadah	Zilkade
Islam	Months (Hijri)	Dhul Hijjah	Zilhicce
Islam	Clothing	Headscarf	Eşarp / Başörtüsü
Islam	Clothing	Niqab	Çarşaf
Islam	Clothing	Jubbah / Kurta	Cübbe
Islam	Clothing	Turban	Sarık
Islam	Clothing	Taqiyah / Cap	Takke
Languages	Main	Arabic	Arapça
Languages	Main	Chinese	Çince
Languages	Main	English	İngilizce
Languages	Main	Farsi	Farsça
Languages	Main	French	Fransızca
Languages	Main	German	Almanca
Languages	Main	Hindi	Hintçe
Languages	Main	Kurdish	Kürtçe
Languages	Main	Latin	Latince
Languages	Main	Ottoman	Osmanlıca
Languages	Main	Portuguese	Portekizce
Languages	Main	Russian	Rusça
Languages	Main	Spanish	İspanyolca
Languages	Main	Turkish	Türkçe
Languages	Main	Urdu	Urduca
Mobile Phone	Main	App	Uygulama
Mobile Phone	Main	Battery	Pil
Mobile Phone	Main	Call	Çağrı
Mobile Phone	Main	Charger	Şarj aleti
Mobile Phone	Main	Data	Veri
Mobile Phone	Main	Device	Cihaz
Mobile Phone	Main	Internet	İnternet
Mobile Phone	Main	Message	Mesaj
Mobile Phone	Main	Mobile phone	Cep telefonu
Mobile Phone	Main	Network	Ağ
Mobile Phone	Main	Password	Şifre
Mobile Phone	Main	Prepaid credits / airtime	Kontör
Mobile Phone	Main	Roaming	Dolaşım
Mobile Phone	Main	Sim card	SIM kart
Mobile Phone	Main	Smartphone	Akıllı telefon
Mobile Phone	Main	Touch screen	Dokunmatik ekran
Occupations	Main	Accountant	Muhasebeci
Occupations	Main	Businessman	İşadamı
Occupations	Main	Chef	Aşçı
Occupations	Main	Dentist	Diş hekimi
Occupations	Main	Doctor	Doktor
Occupations	Main	Engineer	Mühendis
Occupations	Main	Farmer	Çiftçi
Occupations	Main	Journalist	Gazeteci
Occupations	Main	Lawyer	Avukat
Occupations	Main	Nurse	Hemşire
Occupations	Main	Researcher	Araştırmacı
Occupations	Main	Student	Öğrenci
Occupations	Main	Teacher	Öğretmen
Occupations	Main	Writer	Yazar
Parts Of The Body	Head and face	Beard	Sakal
Parts Of The Body	Head and face	Brain	Beyin
Parts Of The Body	Head and face	Chin	Çene
Parts Of The Body	Head and face	Ear	Kulak
Parts Of The Body	Head and face	Eye	Göz
Parts Of The Body	Head and face	Face	Yüz
Parts Of The Body	Head and face	Hair	Saç
Parts Of The Body	Head and face	Head	Baş
Parts Of The Body	Head and face	Lip	Dudak
Parts Of The Body	Head and face	Moustache	Bıyık
Parts Of The Body	Head and face	Mouth	Ağız
Parts Of The Body	Head and face	Neck	Boyun
Parts Of The Body	Head and face	Nose	Burun
Parts Of The Body	Head and face	Tongue	Dil
Parts Of The Body	Head and face	Tooth	Diş
Parts Of The Body	Upper Body	Arm	Kol
Parts Of The Body	Upper Body	Chest	Göğüs
Parts Of The Body	Upper Body	Elbow	Dirsek
Parts Of The Body	Upper Body	Finger	Parmak
Parts Of The Body	Upper Body	Hand	El
Parts Of The Body	Upper Body	Heart	Kalp
Parts Of The Body	Upper Body	Shoulder	Omuz
Parts Of The Body	Upper Body	Stomach	Mide
Parts Of The Body	Lower Body	Ankle	Ayak bileği
Parts Of The Body	Lower Body	Foot	Ayak
Parts Of The Body	Lower Body	Heel	Topuk
Parts Of The Body	Lower Body	Knee	Diz
Parts Of The Body	Lower Body	Leg	Bacak
Parts Of The Body	Lower Body	Toe	Ayak parmağı
Politics	Main	Ballot box	Sandık
Politics	Main	Border	Sınır
Politics	Main	Citizen	Vatandaş
Politics	Main	Constitution	Anayasa
Politics	Main	Coup	Darbe
Politics	Main	Democracy	Demokrasi
Politics	Main	Economy	Ekonomi
Politics	Main	Election	Seçim
Politics	Main	Government	Hükümet
Politics	Main	Minister	Bakan
Politics	Main	Parliament	Parlamento / Meclis
Politics	Main	Party	Parti
Politics	Main	Politician	Siyasetçi
Politics	Main	Politics	Siyaset
Politics	Main	President	Cumhurbaşkanı / Devlet Başkanı
Politics	Main	Prime Minister	Başbakan
Politics	Main	Republic	Cumhuriyet
Politics	Main	Vote	Oy
Politics	Main	War	Savaş
School	General	Bell	Zil
School	General	Blackboard	Tahta
School	General	Chair	Sandalye
School	General	Class / Grade	Sınıf
School	General	Desk	Masa
School	General	Elementary School	İlkokul
School	General	Holiday	Tatil
School	General	Homework	Ödev
School	General	Lesson	Ders
School	General	Middle School	Ortaokul
School	General	Principal	Okul müdürü
School	General	Recess / Break	Teneffüs
School	General	School	Okul
School	General	Secondary School / High School	Lise
School	General	Student	Öğrenci
School	General	Subject	Ders
School	General	Teacher	Öğretmen
School	General	Test	Sınav
School	General	Uniform	Kıyafet
School	Stationery	Chalk	Tebeşir
School	Stationery	Eraser	Silgi
School	Stationery	Glue	Tutkal
School	Stationery	Notebook	Defter
School	Stationery	Pen	Kalem
School	Stationery	Pencil	Kurşun kalem
School	Stationery	Ruler	Cetvel
School	Stationery	Scissor	Makas
School	Stationery	Sharpener	Kalemtıraş
School	Stationery	Textbook	Kitap
School	Subjects	Biology	Biyoloji
School	Subjects	Chemistry	Kimya
School	Subjects	English	İngilizce
School	Subjects	French	Fransızca
School	Subjects	Geography	Coğrafya
School	Subjects	Geometry	Geometri
School	Subjects	German	Almanca
School	Subjects	History	Tarih
School	Subjects	Literature	Edebiyat
School	Subjects	Mathematics	Matematik
School	Subjects	Philosophy	Felsefe
School	Subjects	Physics	Fizik
School	Subjects	Spanish	İspanyolca
School	Subjects	Turkish	Türkçe
Transport	Main	Aeroplane	Uçak
Transport	Main	Bicycle	Bisiklet
Transport	Main	Boat	Tekne
Transport	Main	Bus	Otobüs
Transport	Main	Car	Araba
Transport	Main	Ferry	Feribot / Vapur
Transport	Main	Helicopter	Helikopter
Transport	Main	Motorbike	Motosiklet
Transport	Main	Scooter	Skuter
Transport	Main	Ship	Gemi
Transport	Main	Subway / Underground Railway	Metro
Transport	Main	Taxi	Taksi
Transport	Main	Train	Tren
Transport	Main	Tram	Tramvay
Transport	Main	Truck	Kamyon
Numbers	Main	1	Bir
Numbers	Main	2	İki
Numbers	Main	3	Üç
Numbers	Main	4	Dört
Numbers	Main	5	Beş
Numbers	Main	6	Altı
Numbers	Main	7	Yedi
Numbers	Main	8	Sekiz
Numbers	Main	9	Dokuz
Numbers	Main	10	On
Numbers	Main	20	Yirmi
Numbers	Main	30	Otuz
Numbers	Main	40	Kırk
Numbers	Main	50	Elli
Numbers	Main	60	Altmış
Numbers	Main	70	Yetmiş
Numbers	Main	80	Seksen
Numbers	Main	90	Doksan
Numbers	Main	100	Yüz
Verbs	Main	To be	Olmak
Verbs	Main	To do / To make	Yapmak
Verbs	Main	To go	Gitmek
Verbs	Main	To come	Gelmek
Verbs	Main	To say	Demek
Verbs	Main	To see	Görmek
Verbs	Main	To take / To buy	Almak
Verbs	Main	To give	Vermek
Verbs	Main	To want	İstemek
Verbs	Main	To know	Bilmek
Verbs	Main	To think	Düşünmek
Verbs	Main	To find	Bulmak
Verbs	Main	To understand	Anlamak
Verbs	Main	To work / To study	Çalışmak
Verbs	Main	To look	Bakmak
Verbs	Main	To use	Kullanmak
Verbs	Main	To ask	Sormak
Verbs	Main	To tell / To explain	Anlatmak
Verbs	Main	To try	Denemek
Verbs	Main	To wait	Beklemek
Food	Main	Water	Su
Food	Main	Bread	Ekmek
Food	Main	Meat	Et
Food	Main	Chicken	Tavuk
Food	Main	Fish	Balık
Food	Main	Egg	Yumurta
Food	Main	Cheese	Peynir
Food	Main	Milk	Süt
Food	Main	Apple	Elma
Food	Main	Tomato	Domates
Food	Main	Potato	Patates
Food	Main	Onion	Soğan
Food	Main	Rice	Pirinç
Food	Main	Pasta	Makarna
Food	Main	Soup	Çorba
Food	Main	Salad	Salata
Food	Main	Fruit	Meyve
Food	Main	Vegetable	Sebze
Food	Main	Salt	Tuz
Food	Main	Sugar	Şeker
Emotions	Main	Happy	Mutlu
Emotions	Main	Sad	Üzgün
Emotions	Main	Angry	Kızgın
Emotions	Main	Tired	Yorgun
Emotions	Main	Surprised	Şaşkın
Emotions	Main	Scared	Korkmuş
Emotions	Main	Excited	Heyecanlı
Emotions	Main	Bored	Sıkılmış
Emotions	Main	Confused	Kafası karışık
Emotions	Main	Anxious	Endişeli
Emotions	Main	Calm	Sakin
Emotions	Main	Nervous	Gergin
Emotions	Main	Proud	Gururlu
Emotions	Main	Disappointed	Hayal kırıklığına uğramış
Emotions	Main	Jealous	Kıskanç
Emotions	Main	Hopeful	Umutlu
Emotions	Main	Lonely	Yalnız
Emotions	Main	Shy	Utangaç
Emotions	Main	Relieved	Rahatlamış
Emotions	Main	Guilty	Suçlu
Occupations	Main	Teacher	Öğretmen
Occupations	Main	Doctor	Doktor
Occupations	Main	Engineer	Mühendis
Occupations	Main	Nurse	Hemşire
